,aluguel,quartos,endereco,banheiro,vaga,area,bairro,rua
11,   R$ 3.100 /Mês  ,  1   Quarto  ,"Rua Luís Dias, 135 - Itaim Bibi, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 35 , Itaim Bibi,"Rua Luís Dias, 135"
12,   R$ 650 /Mês  ,  1   Quarto  ,"Rua Tabor, 255 - Ipiranga, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 16 , Ipiranga,"Rua Tabor, 255"
13,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua Tamandaré, 464 - Liberdade, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 46 , Liberdade,"Rua Tamandaré, 464"
14,   R$ 3.900 /Mês  ,  2   Quartos  ,"Rua Caio Prado, 363 - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 54 , Consolação,"Rua Caio Prado, 363"
15,   R$ 1.900 /Mês  ,  1   Quarto  ,"Rua Itararé - Bela Vista, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 48 , Bela Vista,Rua Itararé
16,   R$ 3.200 /Mês  ,  2   Quartos  ,"Avenida Nova Independência, 37 - Brooklin Paulista, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 63 , Brooklin Paulista,"Avenida Nova Independência, 37"
17,   R$ 7.000 /Mês  ,  2   Quartos  ,"Rua Volta Redonda, 757 - Campo Belo, São Paulo - SP",  5   Banheiros  ,  3   Vagas  , 276 , Campo Belo,"Rua Volta Redonda, 757"
18,   R$ 6.300 /Mês  ,  1   Quarto  ,"Praça Augusto Rademaker Grunewald, 111 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 54 , Vila Olímpia,"Praça Augusto Rademaker Grunewald, 111"
19,   R$ 3.100 /Mês  ,  1   Quarto  ,"Rua Diogo Jácome, 954 - Vila Nova Conceição, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 50 , Vila Nova Conceição,"Rua Diogo Jácome, 954"
20,   R$ 4.200 /Mês  ,  3   Quartos  ,"Rua Patápio Silva - Jardim das Bandeiras, São Paulo - SP",  3   Banheiros  ,  2   Vagas  , 138 , Jardim das Bandeiras,Rua Patápio Silva
21,   R$ 2.300 /Mês  ,  2   Quartos  ,"Rua Visconde de Inhaúma - Vila da Saúde, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 50 , Vila da Saúde,Rua Visconde de Inhaúma
22,   R$ 2.980 /Mês  ,  2   Quartos  ,"Rua Joaquim Antunes - Pinheiros, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 70 , Pinheiros,Rua Joaquim Antunes
23,   R$ 2.600 /Mês  ,  2   Quartos  ,"Rua Pamplona - Jardim Paulista, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 91 , Jardim Paulista,Rua Pamplona
24,   R$ 7.400 /Mês  ,  3   Quartos  ,"Rua Araguari - Vila Uberabinha, São Paulo - SP",  5   Banheiros  ,  2   Vagas  , 124 , Vila Uberabinha,Rua Araguari
25,   R$ 2.800 /Mês  ,  1   Quarto  ,"Rua Monte Aprazível, 109 - Vila Nova Conceição, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 32 , Vila Nova Conceição,"Rua Monte Aprazível, 109"
26,   R$ 4.000 /Mês  ,  2   Quartos  ,"Rua Major Quedinho - Centro, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 65 , Centro,Rua Major Quedinho
27,   R$ 3.000 /Mês  ,  1   Quarto  ,"Rua Doutor Diogo de Faria - Vila Clementino, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 25 , Vila Clementino,Rua Doutor Diogo de Faria
28,   R$ 1.700 /Mês  ,  2   Quartos  ,"Rua Michael Faraday, 22 - Cidade Monções, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 50 , Cidade Monções,"Rua Michael Faraday, 22"
29,   R$ 2.000 /Mês  ,  1   Quarto  ,"Rua Cubatão, 1140 - Vila Mariana, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 32 , Vila Mariana,"Rua Cubatão, 1140"
30,   R$ 3.500 /Mês  ,  1   Quarto  ,"Rua Flórida, 103 - Cidade Monções, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 39 , Cidade Monções,"Rua Flórida, 103"
31,   R$ 2.500 /Mês  ,  1   Quarto  ,"Travessa Humberto I, 1005 - Vila Mariana, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 21 , Vila Mariana,"Travessa Humberto I, 1005"
32,   R$ 2.880 /Mês  ,  1   Quarto  ,"Rua Henri Dunant, 1066 - Santo Amaro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 33 , Santo Amaro,"Rua Henri Dunant, 1066"
33,   R$ 6.000 /Mês  ,  2   Quartos  ,"Rua Pedroso Alvarenga, 401 - Itaim Bibi, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 110 , Itaim Bibi,"Rua Pedroso Alvarenga, 401"
34,   R$ 3.000 /Mês    R$ 890.000   ,  3   Quartos  ,"Rua Artur de Azevedo - Cerqueira César, São Paulo - SP",  3   Banheiros  ,  1   Vaga  , 120 , Cerqueira César,Rua Artur de Azevedo
35,   R$ 4.500 /Mês  ,  3   Quartos  ,"Alameda Jaú, 150 - Jardim Paulista, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 110 , Jardim Paulista,"Alameda Jaú, 150"
0,   R$ 3.000 /Mês  ,  3   Quartos  ,"Avenida Mascote - Vila Mascote, São Paulo - SP",  3   Banheiros  ,  1   Vaga  , 90 , Vila Mascote,Avenida Mascote
1,   R$ 4.200 /Mês  ,  2   Quartos  ,"Rua Helena, 52 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 60 , Vila Olímpia,"Rua Helena, 52"
2,   R$ 1.500 /Mês  ,  2   Quartos  ,"Rua Coronel Camisão, 409 - Vila Gomes, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 72 , Vila Gomes,"Rua Coronel Camisão, 409"
3,   R$ 2.950 /Mês  ,  2   Quartos  ,"Rua Padre Carvalho, 68 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 60 , Pinheiros,"Rua Padre Carvalho, 68"
4,   R$ 3.100 /Mês  ,  3   Quartos  ,"Rua Giovani Recordati, 153 - Parque São Domingos, São Paulo - SP",  2   Banheiros  ,  2   Vagas  , 74 , Parque São Domingos,"Rua Giovani Recordati, 153"
5,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua Tamandaré, 464 - Liberdade, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 46 , Liberdade,"Rua Tamandaré, 464"
6,   R$ 3.900 /Mês  ,  2   Quartos  ,"Rua Caio Prado, 363 - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 54 , Consolação,"Rua Caio Prado, 363"
7,   R$ 7.000 /Mês  ,  2   Quartos  ,"Rua Volta Redonda, 757 - Campo Belo, São Paulo - SP",  5   Banheiros  ,  3   Vagas  , 276 , Campo Belo,"Rua Volta Redonda, 757"
8,   R$ 7.000 /Mês  ,  2   Quartos  ,"Rua Kansas, 1700 - Brooklin Paulista, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 84 , Brooklin Paulista,"Rua Kansas, 1700"
9,   R$ 6.300 /Mês  ,  1   Quarto  ,"Praça Augusto Rademaker Grunewald, 111 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 54 , Vila Olímpia,"Praça Augusto Rademaker Grunewald, 111"
10,   R$ 3.100 /Mês  ,  1   Quarto  ,"Rua Diogo Jácome, 954 - Vila Nova Conceição, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 50 , Vila Nova Conceição,"Rua Diogo Jácome, 954"
11,   R$ 2.600 /Mês  ,  2   Quartos  ,"Rua Pamplona - Jardim Paulista, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 91 , Jardim Paulista,Rua Pamplona
12,   R$ 4.000 /Mês  ,  2   Quartos  ,"Rua Major Quedinho - Centro, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 65 , Centro,Rua Major Quedinho
13,   R$ 3.000 /Mês  ,  1   Quarto  ,"Rua Doutor Diogo de Faria - Vila Clementino, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 25 , Vila Clementino,Rua Doutor Diogo de Faria
14,   R$ 2.000 /Mês  ,  1   Quarto  ,"Rua Cubatão, 1140 - Vila Mariana, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 32 , Vila Mariana,"Rua Cubatão, 1140"
15,   R$ 900 /Mês  ,  2   Quartos  ,"Rua das Perobeiras - Chácara Santa Maria, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 45 , Chácara Santa Maria,Rua das Perobeiras
16,   R$ 2.500 /Mês  ,  1   Quarto  ,"Travessa Humberto I, 1005 - Vila Mariana, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 21 , Vila Mariana,"Travessa Humberto I, 1005"
17,   R$ 2.880 /Mês  ,  1   Quarto  ,"Rua Henri Dunant, 1066 - Santo Amaro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 33 , Santo Amaro,"Rua Henri Dunant, 1066"
18,   R$ 1.900 /Mês  ,  2   Quartos  ,"Vila Andrade, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 57 , SP,"Vila Andrade, São Paulo"
19,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua Dom Constantino Barradas, 120 - Vila Gumercindo, São Paulo - SP",  2   Banheiros  ,  2   Vagas  , 80 , Vila Gumercindo,"Rua Dom Constantino Barradas, 120"
20,   R$ 5.500 /Mês    R$ 1.650.000   ,  3   Quartos  ,"Avenida Padre Pereira de Andrade, 545 - Boaçava, São Paulo - SP",  4   Banheiros  ,  3   Vagas  , 165 , Boaçava,"Avenida Padre Pereira de Andrade, 545"
21,   R$ 3.950 /Mês  ,  2   Quartos  ,"Rua Leopoldo de Bulhões, 59 - Vila Clementino, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 57 , Vila Clementino,"Rua Leopoldo de Bulhões, 59"
22,   R$ 2.002 /Mês  ,  1   Quarto  ,"Rua Brás Cardoso, , 654 - Vila Nova Conceição, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 42 , Vila Nova Conceição,"Rua Brás Cardoso, , 654"
23,   R$ 2.500 /Mês  ,  2   Quartos  ,"Rua Marquês de Itu, 181 - Vila Buarque, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 50 , Vila Buarque,"Rua Marquês de Itu, 181"
24,   R$ 3.400 /Mês  ,  2   Quartos  ,"Rua Oscar Caravelas, 280 - Sumarezinho, São Paulo - SP",  2   Banheiros  ,  2   Vagas  , 88 , Sumarezinho,"Rua Oscar Caravelas, 280"
25,   R$ 5.300 /Mês  ,  3   Quartos  ,"Rua Alves Guimarães - Pinheiros, São Paulo - SP",  4   Banheiros  ,  2   Vagas  , 116 , Pinheiros,Rua Alves Guimarães
26,   R$ 4.000 /Mês  ,  1   Quarto  ,"Rua Balthazar da Veiga, 539 - Vila Nova Conceição, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 40 , Vila Nova Conceição,"Rua Balthazar da Veiga, 539"
27,   R$ 1.900 /Mês  ,  1   Quarto  ,"Rua Bom Pastor, 2056 - Ipiranga, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 37 , Ipiranga,"Rua Bom Pastor, 2056"
28,   R$ 30.000 /Mês  ,  3   Quartos  ,"Rua Frederic Chopin, 190 - Jardim Paulistano, São Paulo - SP",  4   Banheiros  ,  3   Vagas  , 294 , Jardim Paulistano,"Rua Frederic Chopin, 190"
29,   R$ 4.000 /Mês  ,  2   Quartos  ,"Rua Oscar Freire, 1456 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 82 , Pinheiros,"Rua Oscar Freire, 1456"
30,   R$ 4.500 /Mês  ,  1   Quarto  ,"Rua Doutor Virgílio de Carvalho Pinto, 262 - Pinheiros, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 30 , Pinheiros,"Rua Doutor Virgílio de Carvalho Pinto, 262"
31,   R$ 1.600 /Mês  ,  2   Quartos  ,"Rua Guarani, 460 - Bom Retiro, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 60 , Bom Retiro,"Rua Guarani, 460"
32,   R$ 1.700 /Mês  ,  3   Quartos  ,"Rua Domingos da Costa Mata, 275 - Santana, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 62 , Santana,"Rua Domingos da Costa Mata, 275"
33,   R$ 4.290 /Mês  ,  3   Quartos  ,"Rua Ambrizette - Jardim Fonte do Morumbi, São Paulo - SP",  3   Banheiros  ,  2   Vagas  , 95 , Jardim Fonte do Morumbi,Rua Ambrizette
34,   R$ 8.800 /Mês  ,  3   Quartos  ,"Rua Pensilvânia, 1342 - Cidade Monções, São Paulo - SP",  5   Banheiros  ,  3   Vagas  , 130 , Cidade Monções,"Rua Pensilvânia, 1342"
35,   R$ 1.700 /Mês  ,  2   Quartos  ,"Avenida Santa Catarina, 1531 - Vila Mascote, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 54 , Vila Mascote,"Avenida Santa Catarina, 1531"
0,   R$ 4.200 /Mês  ,  2   Quartos  ,"Rua Helena, 52 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 60 , Vila Olímpia,"Rua Helena, 52"
1,   R$ 1.100 /Mês  ,  2   Quartos  ,"Avenida do Oratório, 5923 - Jardim Ângela (Zona Leste), São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 122 , Jardim Ângela (Zona Leste),"Avenida do Oratório, 5923"
2,   R$ 3.100 /Mês  ,  1   Quarto  ,"Rua Luís Dias, 135 - Itaim Bibi, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 35 , Itaim Bibi,"Rua Luís Dias, 135"
3,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua Tamandaré, 464 - Liberdade, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 46 , Liberdade,"Rua Tamandaré, 464"
4,   R$ 4.000 /Mês  ,  2   Quartos  ,"Rua Major Quedinho - Centro, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 65 , Centro,Rua Major Quedinho
5,   R$ 3.900 /Mês  ,  2   Quartos  ,"Rua Caio Prado, 363 - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 54 , Consolação,"Rua Caio Prado, 363"
6,   R$ 7.000 /Mês  ,  2   Quartos  ,"Rua Volta Redonda, 757 - Campo Belo, São Paulo - SP",  5   Banheiros  ,  3   Vagas  , 276 , Campo Belo,"Rua Volta Redonda, 757"
7,   R$ 6.300 /Mês  ,  1   Quarto  ,"Praça Augusto Rademaker Grunewald, 111 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 54 , Vila Olímpia,"Praça Augusto Rademaker Grunewald, 111"
8,   R$ 3.100 /Mês  ,  1   Quarto  ,"Rua Diogo Jácome, 954 - Vila Nova Conceição, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 50 , Vila Nova Conceição,"Rua Diogo Jácome, 954"
9,   R$ 2.300 /Mês  ,  2   Quartos  ,"Rua Visconde de Inhaúma - Vila da Saúde, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 50 , Vila da Saúde,Rua Visconde de Inhaúma
10,   R$ 5.500 /Mês  ,  3   Quartos  ,"Rua João Lourenço, 763 - Vila Nova Conceição, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 80 , Vila Nova Conceição,"Rua João Lourenço, 763"
11,   R$ 3.000 /Mês  ,  1   Quarto  ,"Rua Doutor Diogo de Faria - Vila Clementino, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 25 , Vila Clementino,Rua Doutor Diogo de Faria
12,   R$ 1.700 /Mês  ,  2   Quartos  ,"Rua Michael Faraday, 22 - Cidade Monções, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 50 , Cidade Monções,"Rua Michael Faraday, 22"
13,   R$ 2.000 /Mês  ,  1   Quarto  ,"Rua Cubatão, 1140 - Vila Mariana, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 32 , Vila Mariana,"Rua Cubatão, 1140"
14,   R$ 2.500 /Mês  ,  1   Quarto  ,"Travessa Humberto I, 1005 - Vila Mariana, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 21 , Vila Mariana,"Travessa Humberto I, 1005"
15,   R$ 4.500 /Mês  ,  3   Quartos  ,"Alameda Jaú, 150 - Jardim Paulista, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 110 , Jardim Paulista,"Alameda Jaú, 150"
16,   R$ 2.880 /Mês  ,  1   Quarto  ,"Rua Henri Dunant, 1066 - Santo Amaro, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 33 , Santo Amaro,"Rua Henri Dunant, 1066"
17,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua Dom Constantino Barradas, 120 - Vila Gumercindo, São Paulo - SP",  2   Banheiros  ,  2   Vagas  , 80 , Vila Gumercindo,"Rua Dom Constantino Barradas, 120"
18,   R$ 5.500 /Mês    R$ 1.650.000   ,  3   Quartos  ,"Avenida Padre Pereira de Andrade, 545 - Boaçava, São Paulo - SP",  4   Banheiros  ,  3   Vagas  , 165 , Boaçava,"Avenida Padre Pereira de Andrade, 545"
19,   R$ 4.300 /Mês  ,  1   Quarto  ,"Rua Alves Guimarães, 1120 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 45 , Pinheiros,"Rua Alves Guimarães, 1120"
20,   R$ 2.400 /Mês  ,  2   Quartos  ,"Rua Jacques Félix, 724 - Vila Nova Conceição, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 72 , Vila Nova Conceição,"Rua Jacques Félix, 724"
21,   R$ 3.950 /Mês  ,  2   Quartos  ,"Rua Leopoldo de Bulhões, 59 - Vila Clementino, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 57 , Vila Clementino,"Rua Leopoldo de Bulhões, 59"
22,   R$ 2.002 /Mês  ,  1   Quarto  ,"Rua Brás Cardoso, , 654 - Vila Nova Conceição, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 42 , Vila Nova Conceição,"Rua Brás Cardoso, , 654"
23,   R$ 2.500 /Mês  ,  1   Quarto  ,"Rua Bom Pastor, 1557 - Ipiranga, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 34 , Ipiranga,"Rua Bom Pastor, 1557"
24,   R$ 2.500 /Mês  ,  2   Quartos  ,"Rua Marquês de Itu, 181 - Vila Buarque, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 50 , Vila Buarque,"Rua Marquês de Itu, 181"
25,   R$ 3.400 /Mês  ,  2   Quartos  ,"Rua Oscar Caravelas, 280 - Sumarezinho, São Paulo - SP",  2   Banheiros  ,  2   Vagas  , 88 , Sumarezinho,"Rua Oscar Caravelas, 280"
26,   R$ 4.200 /Mês    R$ 770.000   ,  1   Quarto  ,"Rua George Ohm, 330 - Cidade Monções, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 52 , Cidade Monções,"Rua George Ohm, 330"
27,   R$ 5.300 /Mês  ,  3   Quartos  ,"Rua Alves Guimarães - Pinheiros, São Paulo - SP",  4   Banheiros  ,  2   Vagas  , 116 , Pinheiros,Rua Alves Guimarães
28,   R$ 4.000 /Mês  ,  1   Quarto  ,"Rua Balthazar da Veiga, 539 - Vila Nova Conceição, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 40 , Vila Nova Conceição,"Rua Balthazar da Veiga, 539"
29,   R$ 1.900 /Mês  ,  1   Quarto  ,"Rua Bom Pastor, 2056 - Ipiranga, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 37 , Ipiranga,"Rua Bom Pastor, 2056"
30,   R$ 30.000 /Mês  ,  3   Quartos  ,"Rua Frederic Chopin, 190 - Jardim Paulistano, São Paulo - SP",  4   Banheiros  ,  3   Vagas  , 294 , Jardim Paulistano,"Rua Frederic Chopin, 190"
31,   R$ 4.000 /Mês  ,  2   Quartos  ,"Rua Oscar Freire, 1456 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 82 , Pinheiros,"Rua Oscar Freire, 1456"
32,   R$ 1.700 /Mês  ,  3   Quartos  ,"Rua Domingos da Costa Mata, 275 - Santana, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 62 , Santana,"Rua Domingos da Costa Mata, 275"
33,   R$ 8.800 /Mês  ,  3   Quartos  ,"Rua Pensilvânia, 1342 - Cidade Monções, São Paulo - SP",  5   Banheiros  ,  3   Vagas  , 130 , Cidade Monções,"Rua Pensilvânia, 1342"
34,   R$ 5.100 /Mês  ,  2   Quartos  ,"Rua Lisboa, 159 - Cerqueira César, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 163 , Cerqueira César,"Rua Lisboa, 159"
35,   R$ 13.600 /Mês    R$ 3.000.000   ,  2   Quartos  ,"Itaim Bibi, São Paulo - SP",  3   Banheiros  ,  3   Vagas  , 172 , SP,"Itaim Bibi, São Paulo"
0,   R$ 8.500 /Mês  ,  3   Quartos  ,"Rua Professor José Leite e Oiticica, 240 - Vila Gertrudes, São Paulo - SP",  5   Banheiros  ,  2   Vagas  , 150 , Vila Gertrudes,"Rua Professor José Leite e Oiticica, 240"
1,   R$ 2.800 /Mês  ,  2   Quartos  ,"Rua Castro Alves, 279 - Aclimação, São Paulo - SP",  2   Banheiros  ,  2   Vagas  , 60 , Aclimação,"Rua Castro Alves, 279"
2,   R$ 1.400 /Mês  ,  3   Quartos  ,"Avenida Engenheiro Heitor Antônio Eiras Garcia, 400 - Jardim Esmeralda, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 72 , Jardim Esmeralda,"Avenida Engenheiro Heitor Antônio Eiras Garcia, 400"
3,   R$ 3.000 /Mês  ,  3   Quartos  ,"Avenida Mascote - Vila Mascote, São Paulo - SP",  3   Banheiros  ,  1   Vaga  , 90 , Vila Mascote,Avenida Mascote
4,   R$ 4.200 /Mês  ,  2   Quartos  ,"Rua Helena, 52 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 60 , Vila Olímpia,"Rua Helena, 52"
5,   R$ 1.550 /Mês  ,  2   Quartos  ,"Avenida Escola Politécnica, 2200 - Rio Pequeno, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 57 , Rio Pequeno,"Avenida Escola Politécnica, 2200"
6,   R$ 2.950 /Mês  ,  2   Quartos  ,"Rua Padre Carvalho, 68 - Pinheiros, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 60 , Pinheiros,"Rua Padre Carvalho, 68"
7,   R$ 1.600 /Mês  ,  1   Quarto  ,"Alameda dos Nhambiquaras - Indianópolis, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 38 , Indianópolis,Alameda dos Nhambiquaras
8,   R$ 1.100 /Mês  ,  2   Quartos  ,"Avenida do Oratório, 5923 - Jardim Ângela (Zona Leste), São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 122 , Jardim Ângela (Zona Leste),"Avenida do Oratório, 5923"
9,   R$ 4.200 /Mês  ,  2   Quartos  ,"Rua Maestro Cardim, 266 - Liberdade, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 60 , Liberdade,"Rua Maestro Cardim, 266"
10,   R$ 6.500 /Mês  ,  1   Quarto  ,"Rua Doutor Mário Ferraz, 415 - Jardim Paulistano, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 50 , Jardim Paulistano,"Rua Doutor Mário Ferraz, 415"
11,   R$ 3.100 /Mês  ,  1   Quarto  ,"Rua Luís Dias, 135 - Itaim Bibi, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 35 , Itaim Bibi,"Rua Luís Dias, 135"
12,   R$ 650 /Mês  ,  1   Quarto  ,"Rua Tabor, 255 - Ipiranga, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 16 , Ipiranga,"Rua Tabor, 255"
13,   R$ 1.800 /Mês  ,  2   Quartos  ,"Rua Tamandaré, 464 - Liberdade, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 46 , Liberdade,"Rua Tamandaré, 464"
14,   R$ 3.900 /Mês  ,  2   Quartos  ,"Rua Caio Prado, 363 - Consolação, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 54 , Consolação,"Rua Caio Prado, 363"
15,   R$ 1.900 /Mês  ,  1   Quarto  ,"Rua Itararé - Bela Vista, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 48 , Bela Vista,Rua Itararé
16,   R$ 3.200 /Mês  ,  2   Quartos  ,"Avenida Nova Independência, 37 - Brooklin Paulista, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 63 , Brooklin Paulista,"Avenida Nova Independência, 37"
17,   R$ 7.000 /Mês  ,  2   Quartos  ,"Rua Volta Redonda, 757 - Campo Belo, São Paulo - SP",  5   Banheiros  ,  3   Vagas  , 276 , Campo Belo,"Rua Volta Redonda, 757"
18,   R$ 6.300 /Mês  ,  1   Quarto  ,"Praça Augusto Rademaker Grunewald, 111 - Vila Olímpia, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 54 , Vila Olímpia,"Praça Augusto Rademaker Grunewald, 111"
19,   R$ 3.100 /Mês  ,  1   Quarto  ,"Rua Diogo Jácome, 954 - Vila Nova Conceição, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 50 , Vila Nova Conceição,"Rua Diogo Jácome, 954"
20,   R$ 4.200 /Mês  ,  3   Quartos  ,"Rua Patápio Silva - Jardim das Bandeiras, São Paulo - SP",  3   Banheiros  ,  2   Vagas  , 138 , Jardim das Bandeiras,Rua Patápio Silva
21,   R$ 2.300 /Mês  ,  2   Quartos  ,"Rua Visconde de Inhaúma - Vila da Saúde, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 50 , Vila da Saúde,Rua Visconde de Inhaúma
22,   R$ 2.980 /Mês  ,  2   Quartos  ,"Rua Joaquim Antunes - Pinheiros, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 70 , Pinheiros,Rua Joaquim Antunes
23,   R$ 2.600 /Mês  ,  2   Quartos  ,"Rua Pamplona - Jardim Paulista, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 91 , Jardim Paulista,Rua Pamplona
24,   R$ 7.400 /Mês  ,  3   Quartos  ,"Rua Araguari - Vila Uberabinha, São Paulo - SP",  5   Banheiros  ,  2   Vagas  , 124 , Vila Uberabinha,Rua Araguari
25,   R$ 2.800 /Mês  ,  1   Quarto  ,"Rua Monte Aprazível, 109 - Vila Nova Conceição, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 32 , Vila Nova Conceição,"Rua Monte Aprazível, 109"
26,   R$ 4.000 /Mês  ,  2   Quartos  ,"Rua Major Quedinho - Centro, São Paulo - SP",  2   Banheiros  ,  1   Vaga  , 65 , Centro,Rua Major Quedinho
27,   R$ 3.000 /Mês  ,  1   Quarto  ,"Rua Doutor Diogo de Faria - Vila Clementino, São Paulo - SP",  1   Banheiro  ,  --   Vaga  , 25 , Vila Clementino,Rua Doutor Diogo de Faria
28,   R$ 1.700 /Mês  ,  2   Quartos  ,"Rua Michael Faraday, 22 - Cidade Monções, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 50 , Cidade Monções,"Rua Michael Faraday, 22"
29,   R$ 2.000 /Mês  ,  1   Quarto  ,"Rua Cubatão, 1140 - Vila Mariana, São Paulo - SP",  1   Banheiro  ,  1   Vaga  , 32 , Vila Mariana,"Rua Cubatão, 1140"
